"id";"X.id";"addr.city";"addr.city.ca";"addr.country";"addr.district";"addr.housename";"addr.housenumber";"addr.postcode";"addr.province";"addr.street";"addr.subdistrict";"addr.unit";"air_conditioning";"alt_name";"amenity";"barrier";"building";"building.colour";"building.levels";"check_date";"contact.email";"contact.phone";"description";"email";"fence_type";"image";"internet_access";"internet_access.fee";"internet_access.ssid";"level";"loc_name";"name";"name.ca";"name.es";"name.etymology.wikidata";"nohousenumber";"note";"official_name";"opening_hours";"operator";"operator.type";"operator.wikidata";"phone";"polling_station";"roof.colour";"source";"toilets";"toilets.access";"type";"website";"wheelchair";"wikidata";"wikipedia";"longitud";"latitud"
"way/499554039";"way/499554039";"València";NA;NA;NA;NA;"1";"46008";NA;"Carrer del Pare Manjón";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal María Beneyto";NA;NA;"Q3392901";NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 392 28 07";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,384629825574469;39,4767294456252
"way/512390410";"way/512390410";"València";NA;NA;NA;NA;"1";"46018";NA;"Plaça de Magúncia";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Lluís Fullana i Mira";"Biblioteca Municipal Lluís Fullana i Mira";NA;"Q3257555";NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x4585";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,402174345163535;39,4653017978819
"way/587718541";"way/587718541";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Carmelita Sánchez-Cutillas";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x3601";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,387243941041426;39,4942756760962
"way/1096701416";"way/1096701416";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,369327415854873;39,4809157109879
"way/1246190495";"way/1246190495";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca del Orriols Josep Maria Bayarri";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";NA;NA;NA;NA;NA;NA;NA;"https://xlpv.gva.es/";NA;NA;NA;-0,368514691208033;39,4969813777683
"node/1703016479";"node/1703016479";"València";NA;NA;NA;NA;"34";"46023";NA;"Carrer de Trafalgar";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Gregori Mayans i Ciscar";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x2735";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3452861;39,461124
"node/1719274668";"node/1719274668";"València";NA;NA;NA;NA;"16";"46017";NA;"Carrer del Castell de Cullera";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Joan Churat i Saurí";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 329 20 86";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3929396;39,4343112
"node/1981173589";"node/1981173589";"València";NA;NA;NA;"Parc de Marxalenes";NA;"46009";NA;"Carrer de Reus";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Joanot Martorell";NA;NA;NA;"yes";NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34 96 348 32 69";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3811579;39,4863998
"node/1983118056";"node/1983118056";"València";NA;NA;NA;NA;"32";"46020";NA;"Carrer de Francesc Martínez";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Carola Reig Salvá";NA;NA;"Q23010210";NA;NA;NA;"Mo-Fr 08:45-14:45,16:15-19:45";"Ajuntament de València";"government";"Q26251945";"+34963525478 x4302";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3581242;39,4881253
"node/2441476728";"node/2441476728";"València";NA;NA;NA;NA;"8";"46024";NA;"Carrer de Méndez Núñez";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Grau-Port";"Biblioteca Municipal Grau-Port";NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x7383";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3395564;39,4599213
"node/2441476730";"node/2441476730";"València";NA;NA;NA;NA;"24";"46025";NA;"Carrer del Ninot";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Vicent Tortosa i Biosca";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 193 50 64";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3926563;39,5000885
"node/2441476731";"node/2441476731";"València";NA;NA;NA;NA;"6";"46024";NA;"Carrer de Peris Brell";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Vicent Casp i Verger";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 330 14 73";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3474621;39,4646394
"node/2441476749";"node/2441476749";"València";NA;NA;NA;"Palau de l'Exposició";"1";"46010";NA;"Carrer de Galícia";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Palau de l'Exposició";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x4491";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3624784;39,4735879
"node/2441494865";"node/2441494865";"València";NA;NA;NA;"Complex Esportiu-Cultural Petxina";"42";"46008";NA;"Passeig de la Petxina";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal de la Petxina";NA;"Biblioteca Municipal de la Pechina";NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x2784";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,394262;39,4752164
"node/2441641881";"node/2441641881";"València";NA;NA;NA;NA;"3";"46015";NA;"Carrer de Miquel Navarro";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Francesc Almela i Vives";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 348 27 71";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,4009189;39,4802366
"node/2441641900";"node/2441641900";"València";NA;NA;NA;NA;"19";"46011";NA;"Carrer del Doctor Josep Juan Dòmine";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Constantí Llombart";NA;NA;NA;NA;NA;NA;"Mo-Fr 08:45-14:45, Sa 09:30-13:29, Mo-Fr 16:15-19:45";"Ajuntament de València";"government";"Q26251945";"+34963525478 x4298";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3306416;39,4626595
"node/2441974441";"node/2441974441";"València";NA;NA;NA;NA;"85";"46011";NA;"Carrer de la Reina";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Casa de la Reina";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34 96 371 52 92";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3289691;39,4674645
"node/2441998681";"node/2441998681";"València";NA;NA;NA;NA;"52";"46026";NA;"Carrer de l'Illa Cabrera";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Roiç de Corella";"Biblioteca Municipal Roiç de Corella";NA;NA;NA;NA;NA;"Mo-Fr 08:45-14:45,16:15-19:45";"Ajuntament de València";NA;NA;"+34 96 373 75 33";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;"Q85818150";NA;-0,3774724;39,4487117
"node/2441998682";"node/2441998682";"València";"València";NA;NA;NA;"2";"46006";NA;"Carrer del Poeta Al-Russafi";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Nova Al-Russafí";NA;"Biblioteca Municipal Nueva Al-Russafi";NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x4292";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3706941;39,4609316
"node/2441998683";"node/2441998683";"València";NA;NA;NA;NA;"9";"46021";NA;"Carrer del Serpis";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"wlan";"no";NA;NA;NA;"Biblioteca Municipal María Moliner";NA;NA;"Q465162";NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34 96 393 13 33";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;"yes";NA;NA;-0,3491314;39,4762495
"node/2441998684";"node/2441998684";"València";NA;NA;NA;NA;"35";"46025";NA;"Carrer Doménec Gómez";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Isabel de Villena";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x7350";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,3821432;39,4924326
"node/2442131158";"node/2442131158";NA;NA;NA;NA;NA;"18";"46007";NA;"Avinguda de Giorgeta";NA;NA;NA;NA;"library";NA;NA;NA;NA;2026-02-17;NA;NA;NA;"bgermanadefoix@valencia.es";NA;NA;NA;NA;NA;"1";NA;"Biblioteca Municipal Germana de Foix";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34 96 342 27 44";NA;NA;"http://www.valencia.es";NA;NA;NA;"https://cultural.valencia.es/biblioteca/biblioteca-de-la-raiosa-germana-de-foix/";NA;NA;NA;-0,385772;39,46038
"node/2442131160";"node/2442131160";"València";NA;NA;NA;"Complex cultural La Rambleta";"2";"46017";NA;"Carrer de Pius IX";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Clara Santiró i Font";NA;NA;NA;NA;NA;NA;"Mo-Fr 08:45-14:45";"Ajuntament de València";"government";"Q26251945";"+34963525478 x2718";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,392672;39,4472428
"node/2442131161";"node/2442131161";"València";NA;NA;NA;"Centre deportiu i cultural de Patraix";NA;"46018";NA;"Carrer de l'Assagador de les Monges";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Azorín";NA;NA;NA;"yes";NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 357 76 94";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3930536;39,4602344
"node/2442131162";"node/2442131162";"València";NA;NA;NA;NA;"12";"46014";NA;"Carrer de l'Escultor Salzillo";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Vicent Boix i Ricarte";NA;"Biblioteca Municipal Vicente Boix y Ricarte";NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 379 15 23";NA;NA;"http://www.valencia.es";NA;NA;NA;NA;NA;NA;NA;-0,4092612;39,4660039
"node/2508528732";"node/2508528732";"València";NA;NA;NA;"Complex esportiu-cultural Abastos";"18";"46008";NA;"Carrer d'Alberic";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;"beduardescalante@valencia.es";NA;NA;NA;NA;NA;"wlan";"no";NA;NA;"Biblioteca d'Abastos";"Biblioteca Municipal Eduard Escalant";NA;NA;NA;NA;NA;NA;"Sep 30-Jun 22: Mo-Fr 08:45-14:45,16:15-19:45; PH,Su off; Aug off; Jun 23-Jul 31,Sep 01-Sep 29: 08:45-14:45";"Ajuntament de València";NA;NA;"+34 963 52 54 78";NA;NA;"http://www.valencia.es;local knowledge";NA;"yes";NA;NA;"yes";NA;NA;-0,3880343;39,4679589
"node/3105348738";"node/3105348738";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca de ADE-Topografía";NA;NA;NA;NA;"Extensión telefónica es la siguiente: Ext.79926-78859";NA;NA;NA;NA;NA;"+34 963879926";NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;-0,3369311;39,4813678
"node/4767738771";"node/4767738771";NA;NA;NA;NA;NA;"3";NA;NA;"Carrer de la Palma";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ateneu Llibertari Al Margen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://www.ateneoalmargen.org/";NA;NA;NA;-0,3792374;39,4785814
"node/7133479583";"node/7133479583";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"IES Benicalap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3988239;39,4961979
"node/7651891322";"node/7651891322";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal de Trinitat Vivers";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3692772;39,4809812
"node/8721185454";"node/8721185454";"València";NA;NA;NA;NA;"9";"46003";NA;"Carrer de Nàquera";NA;"B";"yes";NA;"library";NA;NA;NA;NA;NA;NA;NA;"Centre bibliogràfic de la DG de l'Institut Valencià de les Dones";"biblioteca.dgmi_val@gva.es";NA;"https://images.app.goo.gl/Urd4QQh1astVYmE57";"wlan";"no";NA;"0";NA;"Biblioteca de la Dona";NA;NA;NA;NA;NA;NA;NA;"Institut Valencià de les Dones - ViCIPI - Generalitat Valenciana";"government";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Q85853463";NA;-0,3760877;39,4785022
"node/10314671205";"node/10314671205";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca General";NA;NA;NA;NA;NA;NA;"Mo-Fr 08:00-21:00; Sa,Su 08:30-21:00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3429392;39,4811085
"node/11380376098";"node/11380376098";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Bibliomar";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 352 54 78";NA;NA;NA;NA;NA;NA;"https://www.valencia.es/cas/playas/bibliomar/-/content/bibliomar?uid=398B0A6F70C2C329C12574D600484A58";NA;NA;NA;-0,3242599;39,4809887
"node/12643509601";"node/12643509601";NA;NA;NA;NA;NA;NA;"46022";NA;"Camí de Vera";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;"bibinformatica@bib.upv.es";NA;NA;"wlan";NA;NA;NA;NA;"Biblioteca d'Informàtica i Documentació Enric Valor";NA;NA;NA;NA;NA;NA;"Mo-Fr 08:00-21:00";NA;NA;NA;"+34 963 87 81 30";NA;NA;NA;NA;NA;NA;"https://www.upv.es/entidades/abdc/biblioteca-de-informatica/";NA;NA;NA;-0,3475188;39,4831196
"node/12898226775";"node/12898226775";"València";NA;NA;NA;NA;"1";"46001";NA;"Plaça de la Mare de Déu";NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Carles Ros";"Biblioteca Municipal Carles Ros";"Biblioteca Municipal Carles Ros";NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x4508";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3754183;39,4759828
"node/13019761430";"node/13019761430";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca de Psicologia i Esport Joan Lluís Vives";NA;NA;NA;NA;NA;NA;NA;"Universitat de València";"university";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3594803;39,4786519
