"id";"X.id";"addr.city";"addr.city.ca";"addr.city.es";"addr.floor";"addr.housenumber";"addr.postcode";"addr.street";"addr.street.ca";"addr.street.es";"air_conditioning";"alt_name";"branch";"brand";"brand.website";"brand.wikidata";"brand.wikipedia";"building";"building.levels";"building.levels.underground";"bulk_purchase";"check_date";"check_date.diet.gluten_free";"check_date.opening_hours";"contact.instagram";"currency.EUR";"description";"diet.gluten_free";"diet.kosher";"email";"indoor";"internet_access";"internet_access.fee";"internet_access.ssid";"layer";"level";"location";"name";"name.ca";"name.en";"name.es";"note";"note.en";"old_name";"opening_hours";"operator";"operator.wikidata";"organic";"payment.cards";"payment.cash";"payment.coins";"payment.contactless";"payment.credit_cards";"payment.debit_cards";"payment.maestro";"payment.mastercard";"payment.notes";"payment.visa";"payment.visa_debit";"payment.visa_electron";"phone";"postal_code";"ref";"room";"second_hand";"shop";"source";"stroller";"toilets";"toilets.wheelchair";"website";"wheelchair";"wikimedia_commons";"longitud";"latitud"
"way/1163121382";"way/1163121382";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lidl";NA;"Q151954";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lidl";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,40395872896614;39,4576192281239
"way/1172836766";"way/1172836766";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,36341927328845;39,4576483295279
"way/1177690023";"way/1177690023";"València";NA;NA;NA;"122";"46013";"Avinguda d'Ausiàs March";NA;NA;NA;NA;NA;"ALDI";NA;"Q41171373";NA;"retail";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALDI";NA;NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,370359856243611;39,4448512247721
"way/1253919948";"way/1253919948";NA;NA;NA;NA;"41";NA;"Avinguda del Mestre Rodrigo";NA;NA;NA;NA;NA;"Lidl";"https://www.lidl.es";"Q151954";NA;"retail";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lidl";NA;NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,401431151820513;39,4816338333173
"way/1279478132";"way/1279478132";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"room";NA;NA;NA;"-1";"-1";"indoor";"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"181";"shop";NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,390319590994904;39,4815789134829
"way/1283628782";"way/1283628782";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Carrefour";NA;"Q217599";"fr:Carrefour (enseigne)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"room";NA;NA;NA;NA;"0";NA;"Carrefour";"Carrefour";NA;NA;NA;NA;NA;"Mo-Sa 09:00-22:00; Su 10:00-22:00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"shop";NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,356066064676595;39,4528330219416
"way/1286364708";"way/1286364708";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Family Cash";NA;"Q118557754";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"room";NA;NA;NA;NA;"-1";NA;"Family Cash";NA;NA;NA;NA;NA;NA;"Mo-Sa 09:00-22:45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"shop";NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,363307420542418;39,4934752572722
"node/99503486";"node/99503486";NA;NA;NA;NA;NA;"46010";NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;2025-11-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";"yes";NA;-0,3628127;39,4766594
"node/106333350";"node/106333350";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,4033839;39,4531762
"node/106914654";"node/106914654";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3721654;39,4505646
"node/106914701";"node/106914701";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3752203;39,4526054
"node/106914719";"node/106914719";"València";NA;NA;NA;"71";"46006";"Carrer de la Pianista Empar Iturbi";NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3757511;39,454908
"node/109967232";"node/109967232";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,4037265;39,4537653
"node/318321813";"node/318321813";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;2025-11-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";"yes";NA;-0,348203;39,4750318
"node/318321824";"node/318321824";NA;NA;NA;NA;"1";NA;"carrer leandro de saralegui";NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;2022-06-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30; PH off";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;"yes";NA;NA;"+34 963 89 06 00";NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://consum.es/";"yes";NA;-0,3478056;39,4760214
"node/318325840";"node/318325840";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;2025-11-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";"yes";NA;-0,3481778;39,4745644
"node/525664378";"node/525664378";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3917474;39,4436039
"node/530074755";"node/530074755";"València";NA;NA;NA;NA;"46015";"C/ de Godelleta";NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,3959186;39,4830955
"node/765327355";"node/765327355";"Benimàmet";NA;NA;NA;"17";"46035";"Carrer del Pare Simó";NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30; PH off";NA;NA;NA;NA;"yes";NA;NA;"yes";"yes";NA;NA;NA;NA;NA;NA;"+34 96 363 46 77";NA;NA;NA;NA;"supermarket";NA;NA;"yes";NA;"https://www.mercadona.es";"yes";NA;-0,4231779;39,5033053
"node/825264575";"node/825264575";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3590522;39,4733891
"node/825264576";"node/825264576";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3704291;39,4954963
"node/1189715660";"node/1189715660";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Family Home";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";"survey";NA;NA;NA;NA;NA;NA;-0,3907684;39,4541367
"node/1386005512";"node/1386005512";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,3802202;39,4949603
"node/1386005513";"node/1386005513";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,3789935;39,494015
"node/1386005517";"node/1386005517";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,379437;39,4950265
"node/1386005518";"node/1386005518";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,378771;39,4933751
"node/1452342492";"node/1452342492";NA;NA;NA;NA;"22";"46015";"Calle de Castielfabib";NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";"survey";NA;NA;NA;NA;NA;NA;-0,3964546;39,4796371
"node/1452779636";"node/1452779636";NA;NA;NA;NA;"15";"46015";"Avenida Pío XII";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Herbolario Navarro";NA;NA;NA;NA;NA;NA;NA;NA;NA;"only";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";"survey";NA;NA;NA;"https://www.herbolarionavarro.es/";NA;NA;-0,3937716;39,4812758
