"id";"X.id";"access";"addr.city";"addr.city.ca";"addr.city.es";"addr.housenumber";"addr.postcode";"addr.street";"addr.street.ca";"addr.street.es";"alt_name";"alt_name.ca";"alt_name.es";"amenity";"building";"building.levels";"capacity.persons";"check_date";"contact.email";"contact.phone";"contact.website";"description";"education";"email";"fee";"leisure";"level";"name";"name.ca";"name.es";"name.etymology.wikidata";"nohousenumber";"note";"old_name";"opening_hours";"operator";"operator.type";"payment.cash";"payment.credit_cards";"payment.debit_cards";"phone";"ref";"short_name";"source";"sport";"type";"website";"wikidata";"wikipedia";"longitud";"latitud"
"way/546687106";"way/546687106";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Pavelló Municipal Fuensanta";NA;NA;"Q11687662";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,407846350881477;39,4654032145753
"way/556838678";"way/556838678";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,372603159800403;39,4902795800033
"way/556838686";"way/556838686";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,372604259101708;39,4907585297491
"way/556838687";"way/556838687";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,372934157596656;39,4910666285131
"way/641968185";"way/641968185";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";"sports_centre";NA;"Pavelló Benicalap";"Pavelló Benicalap";"Pabellón Benicalap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"+34 962 056 085";NA;NA;NA;"multi";NA;"https://www.fdmvalencia.es/instalaciones/pavello-benicalap/";NA;NA;-0,385961356821287;39,493045482368
"way/690587596";"way/690587596";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"multi";NA;NA;NA;NA;-0,33975307914618;39,4771494912732
"way/753709158";"way/753709158";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Camp de Futbol Malilla";"Camp de Futbol Malilla";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"soccer";NA;NA;NA;NA;-0,373988268839282;39,4508785597649
"way/753709160";"way/753709160";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Camp de Futbol Malilla";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"soccer";NA;NA;NA;NA;-0,375108053843649;39,4495741809366
"way/815857718";"way/815857718";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"climbing";NA;NA;NA;NA;-0,378334841330028;39,4568934066072
"way/815857719";"way/815857719";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"climbing";NA;NA;NA;NA;-0,378285239251848;39,4569984507211
"way/895934827";"way/895934827";NA;"València";NA;NA;"6";"46014";"Carrer dels Campaners";NA;NA;NA;NA;NA;NA;"yes";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Natural Climb";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"climbing";NA;NA;NA;NA;-0,397685189787569;39,4560775323516
"way/905761023";"way/905761023";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Astúries";"Poliesportiu Astúries";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,356406639355603;39,4647410540346
"way/1018563301";"way/1018563301";NA;"València";NA;"Valencia";"6";"46014";"Carrer dels Llanterners";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"info@7padel.com";"+34 615 07 10 10";NA;"Partidas y clases de pádel";NA;NA;"yes";"sports_centre";NA;"7Padel";NA;NA;NA;NA;NA;NA;NA;"7Padel";NA;"yes";"yes";"yes";NA;NA;NA;NA;"padel";NA;NA;NA;NA;-0,408733417310546;39,4611244092975
"way/1018568554";"way/1018568554";NA;"València";NA;"Valencia";NA;NA;"Carrer de Vicent la Roda";NA;"Calle de Vicente la Roda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Valencia Tennis Center";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"VTC";NA;"padel;tennis";NA;"https://www.cmvalenciatenniscenter.com/";NA;NA;-0,330224453230493;39,4807146858976
"way/1098289359";"way/1098289359";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu de Marxalenes-Saïdia";"Poliesportiu de Marxalenes-Saïdia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,381258920106064;39,4882522935783
"way/1112410377";"way/1112410377";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Piscina de Benicalap";"Piscina de Benicalap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"swimming";NA;NA;NA;NA;-0,396370068589823;39,4968841770507
"way/1117766254";"way/1117766254";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Complex Esportiu Orriols";"Complex Esportiu Orriols";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,366287921665109;39,4932872125064
"way/1119835786";"way/1119835786";NA;NA;NA;NA;"12";"46026";"Carrer del Periodista Matoses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Piscina l'Oliveral";"Piscina l'Oliveral";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"swimming";NA;NA;NA;NA;-0,365242479436525;39,4235866427563
"way/1169365895";"way/1169365895";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Complex Esportiu-Cultural d'Abastos";NA;NA;NA;NA;NA;NA;NA;"Fundació Esportiva Municipal de València";"public";NA;NA;NA;NA;NA;NA;NA;"swimming";NA;NA;NA;NA;-0,387982969261233;39,4676498956968
"way/1181708728";"way/1181708728";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Ciutat Esportiva del Levante U.D.";NA;NA;NA;NA;NA;NA;NA;"Levante U.D.";"private";NA;NA;NA;NA;NA;NA;NA;"soccer";NA;NA;NA;NA;-0,331488315072694;39,4442607787114
"way/1207556276";"way/1207556276";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Campo del Castellar";NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"soccer";NA;NA;NA;NA;-0,368258995696892;39,4301701977324
"way/1283598467";"way/1283598467";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,389995264321394;39,5189757833385
"way/1325526828";"way/1325526828";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,319753312240465;39,4625298303052
"node/110616292";"node/110616292";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Pavelló Font de Sant Lluís";"Pavelló Font de Sant Lluís";"Pabellón Fuente de San Luís";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"basketball";NA;NA;"Q974010";"ca:Pavelló Font de Sant Lluís";-0,3660735;39,4516284
"node/1127895063";"node/1127895063";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Gimnasio Campvs Gym";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"gymnastics";NA;NA;NA;NA;-0,3620387;39,4830345
